id,name,category,diocese,address,region,lat,lng
참회와-속죄의-성당,참회와 속죄의 성당,순교사적지,의정부교구,경기도 파주시 탄현면 성동로 111,경기,37.7810657817339,126.695031763296
천진암성지,천진암성지,성지,수원교구,경기도 광주시 퇴촌면 천진암로 1203,경기,37.4235731251015,127.388398918509
천호성지,천호성지,성지,전주교구,전북특별자치도 완주군 비봉면 천호성지길 124,전북,36.0381635772163,127.130857159822
서운동-순교-성지,서운동 순교 성지,성지,청주교구,충청북도 청주시 상당구 대성로 41 서운동 성당,충청북,36.6289605939212,127.492732283914
초남이성지,초남이성지,순교사적지,전주교구,전북특별자치도 완주군 이서면 초남신기길 122-1,전북,35.8550820577926,127.022524265898
초록바위순교터,초록바위순교터,순교사적지,전주교구,전북특별자치도 전주시 완산구 전주천서로 123 동완산동 산 1-9,전북,35.8106038223894,127.147698881066
치명자산성지,치명자산성지,성지,전주교구,전북특별자치도 전주시 완산구 바람쐬는길 120,전북,35.8032200818729,127.167609700586
포천-순교-성지-복자-홍인-레오-순교터,포천 순교 성지 (복자 홍인 레오 순교터),순교사적지,춘천교구,경기도 포천시 군내면 호국로 1564,경기,37.8931695424357,127.20387809172
풍수원-성당,풍수원 성당,순교사적지,원주교구,강원특별자치도 횡성군 서원면 경강로유현1길 30,강원,37.5290314857385,127.818682291227
한국-순교자-103위-시성-터-순례지,한국 순교자 103위 시성 터 (순례지),순례지,서울대교구,서울특별시 영등포구 여의공원로 68 (여의도동),서울,37.5268088229325,126.922284053463
한국-천주교회-창립-터,한국 천주교회 창립 터,순교사적지,서울대교구,서울특별시 종로구 청계천로 105 (관수동) 전태일 기념관 앞,서울,37.5684664512813,126.989300313392
한티순교성지,한티순교성지,성지,대구대교구,경상북도 칠곡군 동명면 한티로1길 69,경상북,36.0165760535357,128.630451120372
합덕성당,합덕성당,순교사적지,대전교구,충청남도 당진시 합덕읍 합덕성당2길 22,충청남,36.7924738681208,126.785856734714
